video,frame,time_s,head_food_dist
IMG_2855_dish0.mp4,44887,1496.9319015540586,263.0238133907246
IMG_2855_dish0.mp4,65843,2195.7913693056757,447.1345575152021
IMG_2855_dish0.mp4,65843,2195.7913693056757,247.23828015736927
IMG_2855_dish0.mp4,65843,2195.7913693056757,391.34568099812213
IMG_2855_dish0.mp4,65843,2195.7913693056757,51.78555973086965
IMG_2855_dish0.mp4,65843,2195.7913693056757,96.06420564012986
IMG_2855_dish0.mp4,65843,2195.7913693056757,75.4798083515574
IMG_2855_dish0.mp4,65843,2195.7913693056757,81.49552175964627
IMG_2855_dish0.mp4,65843,2195.7913693056757,87.62036003444672
IMG_2855_dish0.mp4,65843,2195.7913693056757,72.16627262045716
IMG_2855_dish0.mp4,68860,2296.404988994864,66.52232685444127
IMG_2855_dish0.mp4,68860,2296.404988994864,205.23180566686136
IMG_2855_dish0.mp4,68860,2296.404988994864,492.8018987125636
IMG_2855_dish0.mp4,68860,2296.404988994864,88.90719335423702
IMG_2855_dish0.mp4,68860,2296.404988994864,81.83196469941308
IMG_2855_dish0.mp4,68860,2296.404988994864,75.78485892572373
IMG_2855_dish0.mp4,68860,2296.404988994864,87.09573314997274
IMG_2855_dish0.mp4,68860,2296.404988994864,453.75650986219483
IMG_2855_dish0.mp4,68860,2296.404988994864,64.40755040028141
IMG_2855_dish0.mp4,44017,1467.918361902221,241.4453893187897
IMG_2855_dish0.mp4,44017,1467.918361902221,281.94229131098405
IMG_2855_dish0.mp4,44017,1467.918361902221,77.65928127203911
IMG_2855_dish0.mp4,44017,1467.918361902221,68.22223321029006
IMG_2855_dish0.mp4,44017,1467.918361902221,226.338772386715
IMG_2855_dish0.mp4,44017,1467.918361902221,262.7827176377083
IMG_2855_dish0.mp4,44017,1467.918361902221,113.65397302963954
IMG_2855_dish0.mp4,44017,1467.918361902221,86.4972515331387
IMG_2855_dish0.mp4,44017,1467.918361902221,336.9694576347864
IMG_2855_dish0.mp4,78598,2621.156539718535,207.61279177540436
IMG_2855_dish0.mp4,78598,2621.156539718535,288.9243807299603
IMG_2855_dish0.mp4,78598,2621.156539718535,63.86110432504357
IMG_2855_dish0.mp4,78598,2621.156539718535,53.1105003208716
IMG_2855_dish0.mp4,78598,2621.156539718535,241.6780794957128
IMG_2855_dish0.mp4,78598,2621.156539718535,72.43875726424113
IMG_2855_dish0.mp4,78598,2621.156539718535,484.8148138441131
IMG_2855_dish0.mp4,78598,2621.156539718535,201.45952108411268
IMG_2857_dish0.mp4,16614,554.0585606616421,273.81439772810893
IMG_2857_dish0.mp4,16614,554.0585606616421,90.17364500914718
IMG_2857_dish0.mp4,16614,554.0585606616421,399.0621962924852
IMG_2857_dish0.mp4,16614,554.0585606616421,523.4598426235589
IMG_2857_dish0.mp4,16614,554.0585606616421,542.6989894401122
IMG_2857_dish0.mp4,16614,554.0585606616421,527.7331311628807
IMG_2857_dish0.mp4,16614,554.0585606616421,516.8489872186548
IMG_2857_dish0.mp4,44047,1468.918828786767,157.90923038054316
IMG_2857_dish0.mp4,44047,1468.918828786767,219.68581146296827
IMG_2857_dish0.mp4,44047,1468.918828786767,169.54201196656345
IMG_2857_dish0.mp4,44047,1468.918828786767,220.5835747067277
IMG_2857_dish0.mp4,44047,1468.918828786767,183.4628395172858
IMG_2857_dish0.mp4,44047,1468.918828786767,153.94671805482855
IMG_2857_dish0.mp4,44047,1468.918828786767,156.6523231722835
IMG_2857_dish0.mp4,44047,1468.918828786767,164.1644296170844
IMG_2857_dish0.mp4,36220,1207.897018608684,164.37338426863943
IMG_2857_dish0.mp4,36220,1207.897018608684,224.90604168355497
IMG_2857_dish0.mp4,36220,1207.897018608684,158.38329150880983
IMG_2857_dish0.mp4,36220,1207.897018608684,121.72993865973098
IMG_2857_dish0.mp4,36220,1207.897018608684,77.90878597679091
IMG_2857_dish0.mp4,36220,1207.897018608684,158.88830487736288
IMG_2857_dish0.mp4,36220,1207.897018608684,189.48157984029186
IMG_2857_dish0.mp4,36220,1207.897018608684,148.98218192046718
IMG_2857_dish0.mp4,34132,1138.264523444274,152.31134504168864
IMG_2857_dish0.mp4,34132,1138.264523444274,227.02020571721297
IMG_2857_dish0.mp4,34132,1138.264523444274,167.83211969339465
IMG_2857_dish0.mp4,34132,1138.264523444274,101.2590222491096
IMG_2857_dish0.mp4,34132,1138.264523444274,63.888040860903544
IMG_2857_dish0.mp4,34132,1138.264523444274,57.27841749975692
IMG_2857_dish0.mp4,34132,1138.264523444274,207.7729573862177
IMG_2857_dish0.mp4,34132,1138.264523444274,157.35571381654083
IMG_2857_dish0.mp4,21280,709.6645101047155,191.98065727417307
IMG_2857_dish0.mp4,21280,709.6645101047155,20.37789093758117
IMG_2857_dish0.mp4,21280,709.6645101047155,202.63864822869954
IMG_2857_dish0.mp4,21280,709.6645101047155,190.6506695917023
IMG_2857_dish0.mp4,21280,709.6645101047155,263.3657067734921
IMG_2857_dish0.mp4,21280,709.6645101047155,516.4367497637294
IMG_2857_dish0.mp4,21280,709.6645101047155,449.4682009849293
IMG_2857_dish0.mp4,21280,709.6645101047155,530.3503308586937
IMG_2857_dish0.mp4,34376,1146.401654105249,154.84493627629607
