video,frame,time_s,arena_cx,arena_cy,arena_r,food_x,food_y,leech_idx,ant_x,ant_y,post_x,post_y,mid_x,mid_y,heading_am_rad,food_dir_rad,food_align_deg,body_align_deg,is_straight
IMG_2855_dish0.mp4,24920,831.0544920963116,544.9312591552734,484.8235340118408,421.22526454925537,624.1720832859005,437.40283858863813,3,552.1413082294073,606.4218660802408,415.400167679922,562.7210892036011,476.7222255552066,573.9987090427339,-0.406019181523332,0.7472046334446043,66.07485743163852,12.842473105848425,True
IMG_2855_dish0.mp4,24920,831.0544920963116,544.9312591552734,484.8235340118408,421.22526454925537,624.1720832859005,437.40283858863813,4,513.3744900323883,673.3827338750918,696.6358124182964,559.1968330038721,589.4984239465348,608.5364198000782,-2.4360244759045826,1.3708908192132039,141.8798206259506,15.69876435340895,True
IMG_2855_dish0.mp4,24920,831.0544920963116,544.9312591552734,484.8235340118408,421.22526454925537,624.1720832859005,437.40283858863813,5,586.6790189867515,562.7210892036011,593.7275313862095,756.5551801886963,603.5954487454508,674.0875851150377,1.7215427079153183,1.4840774777312842,13.605755470647745,15.460593814104277,True
IMG_2855_dish0.mp4,24920,831.0544920963116,544.9312591552734,484.8235340118408,421.22526454925537,624.1720832859005,437.40283858863813,6,495.7532090337433,605.0121636003491,704.3891760577003,839.7276265023007,597.9566388258843,726.9514281109726,2.2683706702601927,1.4805034930578205,45.14146407058168,3.374319627719537,True
IMG_2855_dish0.mp4,24920,831.0544920963116,544.9312591552734,484.8235340118408,421.22526454925537,624.1720832859005,437.40283858863813,7,717.8940482779994,424.5065282383909,588.1046565639981,239.828230777499,665.8639397054262,352.46483944559714,-0.945311286555668,-2.0270975534977556,61.981787430994245,1.2181873308185578,True
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,0,414.2845766992683,409.7379299800715,433.4008949429683,441.01917801521705,448.1725954040093,401.9176179712851,-2.914793805535907,,,123.69006752597986,False
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,1,598.4963706840143,471.4315024938308,513.3418621438959,333.27265700527124,535.9338746137232,424.5096304411125,-0.6435011087932841,,,39.22232454430133,False
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,2,610.6613004754598,342.8308161271213,495.96339101325947,427.1164011107079,536.8027981702551,363.684981483885,0.2751892491291714,,,41.45794013326004,False
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,3,222.25247070573585,556.5860110339493,218.77677647960857,699.9583978616997,208.3496938012267,635.658054678345,1.3967510869521578,,,19.183084228147813,True
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,4,672.3635853806775,473.95243521671074,684.3705335128097,623.1816477160692,676.9376608595851,533.9871758773721,1.646839886074015,,,0.4066666848797527,True
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,5,540.2871559272223,386.473241682604,538.571877622632,264.1167226218273,542.0024342318127,327.58201989166946,-1.599914308301936,,,4.762395507210498,True
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,6,585.0064645711541,834.7813826809054,716.3082191277035,837.7911650203106,647.8356709062366,849.4540715855055,2.9121714339247498,,,22.81127010059055,False
IMG_2855_dish0.mp4,61941,2065.663976522377,544.9312591552734,484.8235340118408,421.22526454925537,,,7,614.3000112761301,842.5276721445805,559.3216145603577,862.9683581030088,576.9428955590027,865.7877630627919,0.5569015241055862,,,40.99838385647525,False
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,0,496.1906806286362,645.8767527862901,443.5888126211995,739.6453001038947,452.73696357901457,697.335101924,0.86953640392862,0.9662502204969997,5.54129350997058,27.978765194526506,False
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,1,661.4291398554578,488.0711487639802,677.4384040316343,619.575818782572,678.0101634664977,551.5364460338224,1.826345420736279,1.8869288339445462,3.471173885330825,15.123350347071787,True
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,2,578.5240218002588,434.8975213216801,436.1559225192616,436.041040191407,515.0587245304166,445.1891911492221,0.1607627406258355,0.12950367229213047,1.7910126870323262,15.824487023131502,True
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,3,633.4129275471493,350.27712496189065,497.33418204964994,425.749370363865,535.6420641855005,360.56879478943256,0.1048769387302333,-0.5905765215818327,39.84654812365027,53.54741836257985,False
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,4,591.1027293672545,385.7262099234241,543.6466962735888,262.2261719929205,544.7902151433157,374.86278066101863,-0.23040243605886304,-0.5276928332280598,17.03348504756298,76.21724976678897,False
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,5,575.0934651910782,484.6405921547995,513.3434462258264,334.2678607857142,537.3573424900909,424.6058514941381,-1.0096329145065432,-0.045423271556221737,55.24514310686946,17.266028292264874,True
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,6,744.2303611665313,813.9551123920049,689.3398595347064,849.0978358990047,678.8745872564808,809.1823051674266,-0.07289868001083459,1.677982139445429,100.31808138525099,108.8682299039679,False
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,7,251.09543977925065,656.9470124990905,208.4259894919797,688.485301841856,225.12273090873788,669.0057701889714,0.4346702151492422,0.5262442636023036,5.246806489286935,24.493936546900546,False
IMG_2855_dish0.mp4,66062,2203.0947775628624,544.9312591552734,484.8235340118408,421.22526454925537,637.9870204747699,429.1799269730455,8,576.8536312376115,464.1015616688873,551.6467041450934,394.1241222777177,565.5669474648422,432.49884710513334,-1.2277723863741936,0.04579668829550095,72.97013289695509,0.28416768615225335,True
IMG_2855_dish0.mp4,221,7.3701060494897614,504.6000213623047,613.8000793457031,421.08003997802734,,,0,261.40842857613603,531.6949272716456,340.71795030573753,618.8890213369384,298.04850001846654,586.4231352487975,2.160752052858943,,,18.931624895976913,True
IMG_2855_dish0.mp4,221,7.3701060494897614,504.6000213623047,613.8000793457031,421.08003997802734,,,1,244.71168715937785,574.3643775589165,394.9823599102017,667.1240520964622,322.1660153982284,648.572117188953,2.3775979490564634,,,29.48011402705674,False
IMG_2855_dish0.mp4,221,7.3701060494897614,504.6000213623047,613.8000793457031,421.08003997802734,,,2,275.7861781294556,739.01279986306,329.58678936123204,703.3003251661049,303.15028211803156,721.3884617009263,-2.5693990095817996,,,1.5960638579757516,True
IMG_2855_dish0.mp4,221,7.3701060494897614,504.6000213623047,613.8000793457031,421.08003997802734,,,3,307.7882658449088,391.164020347264,180.24371335578363,431.97827714378406,242.8564936686269,374.93107730319355,-0.24497866312686395,,,56.37324270185931,False
IMG_2855_dish0.mp4,221,7.3701060494897614,504.6000213623047,613.8000793457031,421.08003997802734,,,4,164.4405557442425,749.7671590543588,294.8017068931074,846.3945035462805,234.7669662324459,806.943102540703,2.458970101172577,,,5.800760429393531,True
